id,unique_column_id,file_number,purpose,rsc,applicant_name,market,sub_market,receipt_date,call_sign,report_number,d_o_r
158,0010799411-RO-BEA153-2023-12-01-WPZM936-18216-2023-12-06-,0010799411,RO,CP,"Angel Communications, LLC",BEA153,NULL,2023-12-01,WPZM936,18216,2023-12-06
159,0010792197-RO-BEA021-2023-11-27-WPZG702-18216-2023-12-06-,0010792197,RO,CP,"Anser-Quik Communications Inc",BEA021,3,2023-11-27,WPZG702,18216,2023-12-06
160,0010798312-RO-BEA070-2023-11-30-WPZL631-18216-2023-12-06-,0010798312,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL631,18216,2023-12-06
161,0010798332-RO-BEA070-2023-11-30-WPZL633-18216-2023-12-06-,0010798332,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL633,18216,2023-12-06
162,0010798337-RO-BEA070-2023-11-30-WPZL639-18216-2023-12-06-,0010798337,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL639,18216,2023-12-06
163,0010798342-RO-BEA070-2023-11-30-WPZL640-18216-2023-12-06-,0010798342,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL640,18216,2023-12-06
164,0010798351-RO-BEA070-2023-11-30-WPZL642-18216-2023-12-06-,0010798351,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL642,18216,2023-12-06
165,0010798357-RO-BEA070-2023-11-30-WPZL643-18216-2023-12-06-,0010798357,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL643,18216,2023-12-06
166,0010798362-RO-BEA070-2023-11-30-WPZL646-18216-2023-12-06-,0010798362,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL646,18216,2023-12-06
167,0010798368-RO-BEA070-2023-11-30-WPZL647-18216-2023-12-06-,0010798368,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL647,18216,2023-12-06
168,0010798384-RO-BEA070-2023-11-30-WPZL648-18216-2023-12-06-,0010798384,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL648,18216,2023-12-06
169,0010798399-RO-BEA070-2023-11-30-WPZL649-18216-2023-12-06-,0010798399,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL649,18216,2023-12-06
170,0010798415-RO-BEA070-2023-11-30-WPZL650-18216-2023-12-06-,0010798415,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL650,18216,2023-12-06
171,0010798429-RO-BEA070-2023-11-30-WPZL651-18216-2023-12-06-,0010798429,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL651,18216,2023-12-06
172,0010798437-RO-BEA070-2023-11-30-WPZL652-18216-2023-12-06-,0010798437,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL652,18216,2023-12-06
173,0010798449-RO-BEA070-2023-11-30-WPZL653-18216-2023-12-06-,0010798449,RO,CP,"Davis Electronics Company, Inc.",BEA070,NULL,2023-11-30,WPZL653,18216,2023-12-06
174,0010795297-RO-BEA162-2023-11-28-WPZG949-18216-2023-12-06-,0010795297,RO,CP,"Paging Systems, Inc.",BEA162,NULL,2023-11-28,WPZG949,18216,2023-12-06
175,0010795316-RO-BEA164-2023-11-28-WPZG950-18216-2023-12-06-,0010795316,RO,CP,"Paging Systems, Inc.",BEA164,NULL,2023-11-28,WPZG950,18216,2023-12-06
176,0010795321-RO-BEA159-2023-11-28-WPZG951-18216-2023-12-06-,0010795321,RO,CP,"Paging Systems, Inc.",BEA159,NULL,2023-11-28,WPZG951,18216,2023-12-06
177,0010795329-RO-BEA163-2023-11-28-WPZG952-18216-2023-12-06-,0010795329,RO,CP,"Paging Systems, Inc.",BEA163,NULL,2023-11-28,WPZG952,18216,2023-12-06
178,0010795333-RO-BEA163-2023-11-28-WPZG953-18216-2023-12-06-,0010795333,RO,CP,"Paging Systems, Inc.",BEA163,NULL,2023-11-28,WPZG953,18216,2023-12-06
179,0010795340-RO-BEA163-2023-11-28-WPZG954-18216-2023-12-06-,0010795340,RO,CP,"Paging Systems, Inc.",BEA163,NULL,2023-11-28,WPZG954,18216,2023-12-06
180,0010790557-RO-BEA169-2023-11-27-WPZG734-18216-2023-12-06-,0010790557,RO,CP,"Silke Communications, Inc.",BEA169,NULL,2023-11-27,WPZG734,18216,2023-12-06
181,0010790559-RO-BEA169-2023-11-27-WPZG738-18216-2023-12-06-,0010790559,RO,CP,"Silke Communications, Inc.",BEA169,NULL,2023-11-27,WPZG738,18216,2023-12-06
182,0010790561-RO-BEA169-2023-11-27-WPZG739-18216-2023-12-06-,0010790561,RO,CP,"Silke Communications, Inc.",BEA169,NULL,2023-11-27,WPZG739,18216,2023-12-06
183,0010790563-RO-BEA169-2023-11-27-WPZG740-18216-2023-12-06-,0010790563,RO,CP,"Silke Communications, Inc.",BEA169,NULL,2023-11-27,WPZG740,18216,2023-12-06
184,0010790566-RO-BEA169-2023-11-27-WPZG746-18216-2023-12-06-,0010790566,RO,CP,"Silke Communications, Inc.",BEA169,NULL,2023-11-27,WPZG746,18216,2023-12-06
185,0010790572-RO-BEA170-2023-11-27-WPZH210-18216-2023-12-06-,0010790572,RO,CP,"Silke Communications, Inc.",BEA170,NULL,2023-11-27,WPZH210,18216,2023-12-06
186,0010790961-RO-BEA006-2023-11-27-WPZN564-18216-2023-12-06-,0010790961,RO,CP,"T&K Communications Systems, Inc.",BEA006,NULL,2023-11-27,WPZN564,18216,2023-12-06
187,0010790963-RO-BEA007-2023-11-27-WPZN563-18216-2023-12-06-,0010790963,RO,CP,"T&K Communications Systems, Inc.",BEA007,NULL,2023-11-27,WPZN563,18216,2023-12-06
188,0010790966-RO-BEA007-2023-11-27-WPZN562-18216-2023-12-06-,0010790966,RO,CP,"T&K Communications Systems, Inc.",BEA007,NULL,2023-11-27,WPZN562,18216,2023-12-06
189,0010790968-RO-BEA006-2023-11-27-WPZN561-18216-2023-12-06-,0010790968,RO,CP,"T&K Communications Systems, Inc.",BEA006,NULL,2023-11-27,WPZN561,18216,2023-12-06
190,0010790969-RO-BEA006-2023-11-27-WPZN560-18216-2023-12-06-,0010790969,RO,CP,"T&K Communications Systems, Inc.",BEA006,NULL,2023-11-27,WPZN560,18216,2023-12-06
191,0010790971-RO-BEA006-2023-11-27-WPZN559-18216-2023-12-06-,0010790971,RO,CP,"T&K Communications Systems, Inc.",BEA006,NULL,2023-11-27,WPZN559,18216,2023-12-06
192,0010798546-RO-BEA085-2023-11-30-WPZL762-18216-2023-12-06-,0010798546,RO,CP,"Telcom Rentals",BEA085,NULL,2023-11-30,WPZL762,18216,2023-12-06
193,0010798567-RO-BEA085-2023-11-30-WPZL760-18216-2023-12-06-,0010798567,RO,CP,"Telcom Rentals",BEA085,NULL,2023-11-30,WPZL760,18216,2023-12-06
194,0010798577-RO-BEA085-2023-11-30-WPZL707-18216-2023-12-06-,0010798577,RO,CP,"Telcom Rentals",BEA085,NULL,2023-11-30,WPZL707,18216,2023-12-06
195,0010798589-RO-BEA085-2023-11-30-WPZL761-18216-2023-12-06-,0010798589,RO,CP,"Telcom Rentals",BEA085,NULL,2023-11-30,WPZL761,18216,2023-12-06
196,0010795842-RO-BEA071-2023-11-29-WPZF947-18216-2023-12-06-,0010795842,RO,CP,"Tennessee Dept of Safety",BEA071,NULL,2023-11-29,WPZF947,18216,2023-12-06
197,0010796048-RO-BEA071-2023-11-29-WPZF948-18216-2023-12-06-,0010796048,RO,CP,"Tennessee Dept of Safety",BEA071,NULL,2023-11-29,WPZF948,18216,2023-12-06
