id,unique_column_id,file_number,purpose,rsc,applicant_name,market,sub_market,receipt_date,call_sign,action,report_number,d_o_r
702,0010593476-RO-BEA104-2023-11-29-T070272104-G-18218-2023-12-06-,0010593476,RO,AD,"DBSD Corporation",BEA104,0,2023-11-29,T070272104,G,18218,2023-12-06
703,0010593415-RO-BEA118-2023-11-29-T070272118-G-18218-2023-12-06-,0010593415,RO,AD,"DBSD Corporation",BEA118,0,2023-11-29,T070272118,G,18218,2023-12-06
704,0010593230-RO-BEA135-2023-11-29-T070272135-G-18218-2023-12-06-,0010593230,RO,AD,"DBSD Corporation",BEA135,0,2023-11-29,T070272135,G,18218,2023-12-06
705,0010593486-RO-BEA113-2023-11-29-T070272113-G-18218-2023-12-06-,0010593486,RO,AD,"DBSD Corporation",BEA113,0,2023-11-29,T070272113,G,18218,2023-12-06
706,0010593400-RO-BEA120-2023-11-29-T070272120-G-18218-2023-12-06-,0010593400,RO,AD,"DBSD Corporation",BEA120,0,2023-11-29,T070272120,G,18218,2023-12-06
707,0010593327-RO-BEA094-2023-11-29-T070272094-G-18218-2023-12-06-,0010593327,RO,AD,"DBSD Corporation",BEA094,0,2023-11-29,T070272094,G,18218,2023-12-06
708,0010593099-RO-BEA081-2023-11-30-T070272081-G-18218-2023-12-06-,0010593099,RO,AD,"DBSD Corporation",BEA081,0,2023-11-30,T070272081,G,18218,2023-12-06
709,0010593070-RO-BEA148-2023-11-30-T070272148-G-18218-2023-12-06-,0010593070,RO,AD,"DBSD Corporation",BEA148,0,2023-11-30,T070272148,G,18218,2023-12-06
710,0010593277-RO-BEA131-2023-11-29-T070272131-G-18218-2023-12-06-,0010593277,RO,AD,"DBSD Corporation",BEA131,0,2023-11-29,T070272131,G,18218,2023-12-06
711,0010593366-RO-BEA097-2023-11-29-T070272097-G-18218-2023-12-06-,0010593366,RO,AD,"DBSD Corporation",BEA097,0,2023-11-29,T070272097,G,18218,2023-12-06
712,0010593263-RO-BEA091-2023-11-29-T070272091-G-18218-2023-12-06-,0010593263,RO,AD,"DBSD Corporation",BEA091,0,2023-11-29,T070272091,G,18218,2023-12-06
713,0010585791-RO-BEA002-2023-11-28-T070272002-G-18218-2023-12-06-,0010585791,RO,AD,"DBSD Corporation",BEA002,0,2023-11-28,T070272002,G,18218,2023-12-06
714,0010593330-RO-BEA126-2023-11-29-T070272126-G-18218-2023-12-06-,0010593330,RO,AD,"DBSD Corporation",BEA126,0,2023-11-29,T070272126,G,18218,2023-12-06
