id,unique_column_id,file_number,purpose,rsc,applicant_name,state,city,frequency,lat,lon,area_op,receipt_date,call_sign,report_number,d_o_r
4258,"0010794407-MD-AF-Aviation Spectrum Resources Inc Wilmington-NC--00130.40000-34-16-13.4 N-077-54-36.0 W-None-2023-11-28-WBK7-18211-2023-12-06-",0010794407,MD,AF,"Aviation Spectrum Resources Inc Wilmington",NC,NULL,00130.40000,"34-16-13.4 N","077-54-36.0 W",NULL,2023-11-28,WBK7,18211,2023-12-06
4259,"0010794149-NE-AF-City of Taunton East Taunton-MA--00122.70000-41-59-45.0 N-071-01-58.0 W-None-2023-11-28-None-18211-2023-12-06-",0010794149,NE,AF,"City of Taunton East Taunton",MA,NULL,00122.70000,"41-59-45.0 N","071-01-58.0 W",NULL,2023-11-28,NULL,18211,2023-12-06
4260,"0010794438-NE-AF-Aviation Spectrum Resources Inc Tallahassee-FL--00131.42500-30-23-43.5 N-084-20-42.1 W-None-2023-11-28-None-18211-2023-12-06-",0010794438,NE,AF,"Aviation Spectrum Resources Inc Tallahassee",FL,NULL,00131.42500,"30-23-43.5 N","084-20-42.1 W",NULL,2023-11-28,NULL,18211,2023-12-06
4261,"0010796888-NE-AF-Huron Aviation Services, LLC Alpena-MI--00122.95000-45-04-09.7 N-083-33-59.7 W-None-2023-11-29-None-18211-2023-12-06-",0010796888,NE,AF,"Huron Aviation Services, LLC Alpena",MI,NULL,00122.95000,"45-04-09.7 N","083-33-59.7 W",NULL,2023-11-29,NULL,18211,2023-12-06
4262,"0010791262-RO-AF-Buffalo, City of---None-None-None-None-2023-11-27-WQSZ603-18211-2023-12-06-",0010791262,RO,AF,"Buffalo, City of",NULL,NULL,NULL,NULL,NULL,NULL,2023-11-27,WQSZ603,18211,2023-12-06
4263,"0010766102-AM-AS-WXGM, INC. Gloucester-VA--00945.37500-37-23-05.9 N-076-31-51.9 W-None-2023-11-30-None-18211-2023-12-06-",0010766102,AM,AS,"WXGM, INC. Gloucester",VA,NULL,00945.37500,"37-23-05.9 N","076-31-51.9 W",NULL,2023-11-30,NULL,18211,2023-12-06
4264,"0010766102-AM-AS-WXGM, INC. Gloucester-VA--00945.62500-37-23-05.9 N-076-31-51.9 W-None-2023-11-30-None-18211-2023-12-06-",0010766102,AM,AS,"WXGM, INC. Gloucester",VA,NULL,00945.62500,"37-23-05.9 N","076-31-51.9 W",NULL,2023-11-30,NULL,18211,2023-12-06
4265,"0010795276-NE-AS-MOLLMAN MEDIA, INC. Lawton-OK--00944.87500-34-35-28.4 N-098-21-10.2 W-None-2023-11-28-None-18211-2023-12-06-",0010795276,NE,AS,"MOLLMAN MEDIA, INC. Lawton",OK,NULL,00944.87500,"34-35-28.4 N","098-21-10.2 W",NULL,2023-11-28,NULL,18211,2023-12-06
4266,"0010795287-NE-AS-MOLLMAN MEDIA, INC. Lawton-OK--00947.87500-34-35-28.4 N-098-21-10.2 W-None-2023-11-28-None-18211-2023-12-06-",0010795287,NE,AS,"MOLLMAN MEDIA, INC. Lawton",OK,NULL,00947.87500,"34-35-28.4 N","098-21-10.2 W",NULL,2023-11-28,NULL,18211,2023-12-06
4267,"0010795287-NE-AS-MOLLMAN MEDIA, INC. Lawton-OK--00948.12500-34-35-28.4 N-098-21-10.2 W-None-2023-11-28-None-18211-2023-12-06-",0010795287,NE,AS,"MOLLMAN MEDIA, INC. Lawton",OK,NULL,00948.12500,"34-35-28.4 N","098-21-10.2 W",NULL,2023-11-28,NULL,18211,2023-12-06
